"year","trial_name","trial_type","plot_width","plot_length","plant_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_shape1_6","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0041_81",1,81,20,4,"test"," (Operator: lizbethpino, Time: )","VF22-0041","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,125,34.09375,10.91,3,56,4,2,180,4,4,0,1,21.78853601,3,4,25,34.09375,7.42852899590938
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0049_208",1,208,8,9,"test"," (Operator: lizbethpino, Time: )","VF22-0049","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,100,15.015625,4.805,2,31,4,1,125,3,3,0,1,23.99176387,1,4,25,15.015625,3.60251329360469
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0052_148",1,148,3,6,"test"," (Operator: lizbethpino, Time: )","VF22-0052","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,120,3.03125,0.97,1,10,4,1,120,2,NA,0,1,15.83228571,NA,4,25,3.03125,0.479916160584375
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0053_173",1,173,23,7,"test"," (Operator: lizbethpino, Time: )","VF22-0053","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,NA,NA,4,0,NA,NA
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0054_97",1,97,4,4,"test"," (Operator: lizbethpino, Time: )","VF22-0054","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,105,24.515625,7.845,2,37,4,1,130,4,4,0,1,21.2893722,2,4,25,24.515625,5.21922265340625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0060_224",1,224,24,9,"test"," (Operator: lizbethpino, Time: )","VF22-0060","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,135,8.28125,2.65,1,16,4,1,150,1,1,0,0.5,23.82380711,3,4,12.5,8.28125,1.97290902629688
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0062_10",1,10,10,1,"test"," (Operator: lizbethpino, Time: )","VF22-0062","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,NA,1,NA,10.4375,3.34,3,20,4,NA,NA,4,4,2,1,12.51350562,3,4,25,10.4375,1.3060971490875
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0064_205",1,205,5,9,"test"," (Operator: lizbethpino, Time: )","VF22-0064","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,175,15.21875,4.87,2,20,4,1,175,4,2,0,1,21.29056701,2,4,25,15.21875,3.24015816683437
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0066_2",1,2,2,1,"test"," (Operator: lizbethpino, Time: )","VF22-0066","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,230,69.53125,22.25,3,54,4,2,300,4,1,0,1,16.34091286,3,4,25,69.53125,11.3620409729687
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0071_85",1,85,16,4,"test"," (Operator: lizbethpino, Time: )","VF22-0071","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,230,35.15625,11.25,3,30,4,1,230,4,3,0,1,23.2,2,4,25,35.15625,8.15625
